Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","231","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","16784851","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8454.148505","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","46542.005272","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","434560.366632","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2297124.890547","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2344.80934","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4189.863717","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","171267.6618","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","271285.280621","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1840409.841231","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2811077.725704","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","6557.29171","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","17590.679583","X","Sources internationales sûres",""
"MK","Indicateurs macro","75","Gambie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","809.425088","X","Sources internationales sûres",""
"MK","Indicateurs macro","75","Gambie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1375.609459","X","Sources internationales sûres",""
"MK","Indicateurs macro","73","Géorgie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4198.839435","X","Sources internationales sûres",""
"MK","Indicateurs macro","73","Géorgie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","17190.037477","X","Sources internationales sûres",""
"MK","Indicateurs macro","81","Ghana","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","16190.785267","X","Sources internationales sûres",""
"MK","Indicateurs macro","81","Ghana","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","63278.836051","X","Sources internationales sûres",""
"MK","Indicateurs macro","84","Grèce","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","201916.317824","X","Sources internationales sûres",""
"MK","Indicateurs macro","84","Grèce","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","238484.050024","X","Sources internationales sûres",""
