,Zone,kcal_jr,proteine_jr,percent_pop,ratio_proteine,cluster
135,République-Unie de Tanzanie,5348.0,110.31000000000004,33.42,0.22,2
136,Saint-Kitts-et-Nevis,5755.0,66.32999999999998,10.02,1.57,4
137,Saint-Vincent-et-les Grenadines,7188.0,92.39999999999998,0.27,1.09,3
138,Sainte-Lucie,5492.0,76.06999999999998,10.58,1.61,4
139,Samoa,6000.0,81.32000000000001,7.46,1.3,3
140,Sao Tomé-et-Principe,6246.0,97.06000000000003,27.7,0.36,2
141,Serbie,2645.0,44.779999999999994,16.160520231213862,1.17,4
142,Serbie-et-Monténégro,2333.0,32.25,16.160520231213862,1.8,4
143,Sierra Leone,6993.0,126.23000000000002,31.97,0.19,2
144,Slovaquie,5869.0,82.91000000000007,0.41,1.05,3
145,Slovénie,5592.0,92.04999999999998,3.79,1.5,3
146,Soudan,2599.0,43.74,16.160520231213862,1.01,4
147,Soudan (ex),2152.0,45.06999999999999,16.160520231213862,1.15,4
148,Sri Lanka,7728.0,121.25999999999999,7.49,0.3,3
149,Suisse,6925.0,73.71000000000002,11.56,2.23,4
150,Suriname,7777.0,95.79000000000002,12.16,0.63,3
151,Suède,6072.0,79.69000000000001,7.45,2.28,4
152,Sénégal,6530.0,115.77999999999999,30.74,0.31,2
153,Tadjikistan,4604.0,87.35000000000001,23.21,0.48,2
154,Tchad,5200.0,132.39999999999995,41.03,0.19,2
155,Tchéquie,6973.0,84.68,3.39,0.9367816091954023,3
156,Thaïlande,8557.0,112.83999999999999,5.57,0.45,3
157,Timor-Leste,5599.0,103.82,21.77,0.38,2
158,Togo,6518.0,120.57999999999998,30.47,0.14,2
159,Trinité-et-Tobago,7441.0,89.03000000000002,5.46,1.04,3
160,Tunisie,7359.0,139.49999999999997,10.13,0.48,1
161,Turkménistan,4987.0,112.85999999999994,15.26,0.85,2
162,Turquie,7809.0,157.47999999999996,14.88,0.57,1
163,Ukraine,7042.0,107.29000000000003,-4.82,0.99,3
164,Uruguay,6050.0,84.14000000000007,1.98,1.62,3
165,Vanuatu,7666.0,126.43,28.99,0.45,1
166,Venezuela (République bolivarienne du),6185.0,80.01000000000003,16.55,1.02,3
167,Viet Nam,7682.0,155.19000000000003,10.27,0.33,1
168,Yémen,5315.0,96.68000000000004,32.46,0.32,2
169,Zambie,4724.0,94.62,32.6,0.21,2
170,Zimbabwe,5109.0,80.82000000000005,11.42,0.33,2
171,Égypte,8420.0,172.99000000000004,21.39,0.33,1
172,Émirats arabes unis,7801.0,139.73,147.79,0.89,2
173,Équateur,5182.0,69.52000000000002,17.49,1.29,4
174,États-Unis d'Amérique,7746.0,92.62000000000002,9.17,1.99,4
175,Éthiopie,4525.0,106.57,32.17,0.2,2
176,Îles Salomon,7622.0,122.99000000000002,27.81,0.27,1
