code_pays,pays,code_produit,produit,annee,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
28,Myanmar,2559,Graines de coton,2013,280000000.0,0.0,10000000.0,8000000.0,262000000.0,0.0,0.0
28,Myanmar,2560,Coco (Incl Coprah),2013,425000000.0,0.0,0.0,13000000.0,0.0,412000000.0,0.0
28,Myanmar,2561,Sésame,2013,857000000.0,0.0,16000000.0,0.0,769000000.0,71000000.0,0.0
28,Myanmar,2570,"Plantes Oleiferes, Autre",2013,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0
28,Myanmar,2571,Huile de Soja,2013,34000000.0,0.0,0.0,0.0,0.0,34000000.0,0.0
28,Myanmar,2572,Huile d'Arachide,2013,225000000.0,0.0,0.0,0.0,0.0,225000000.0,0.0
28,Myanmar,2573,Huile de Tournesol,2013,124000000.0,0.0,0.0,0.0,0.0,50000000.0,75000000.0
28,Myanmar,2574,Huile de Colza&Moutarde,2013,22000000.0,0.0,0.0,0.0,0.0,0.0,22000000.0
28,Myanmar,2575,Huile Graines de Coton,2013,42000000.0,0.0,0.0,0.0,0.0,42000000.0,0.0
28,Myanmar,2576,Huile de Palmistes,2013,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
28,Myanmar,2577,Huile de Palme,2013,607000000.0,0.0,0.0,0.0,0.0,15000000.0,592000000.0
28,Myanmar,2578,Huile de Coco,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2579,Huile de Sésame,2013,328000000.0,0.0,0.0,0.0,0.0,58000000.0,270000000.0
28,Myanmar,2580,Huile d'Olive,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2581,Huile de Son de Riz,2013,29000000.0,0.0,0.0,0.0,0.0,0.0,29000000.0
28,Myanmar,2586,Huil Plantes Oleif Autr,2013,16000000.0,0.0,0.0,0.0,0.0,2000000.0,14000000.0
28,Myanmar,2601,Tomates,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2602,Oignons,2013,1136000000.0,0.0,0.0,57000000.0,0.0,1079000000.0,0.0
28,Myanmar,2605,"Légumes, Autres",2013,3609000000.0,0.0,0.0,351000000.0,0.0,3258000000.0,0.0
28,Myanmar,2616,Bananes plantains,2013,1000000000.0,0.0,0.0,150000000.0,0.0,850000000.0,0.0
28,Myanmar,2617,Pommes,2013,5000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0
28,Myanmar,2619,Dattes,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2620,Raisin,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2625,"Fruits, Autres",2013,1304000000.0,0.0,0.0,65000000.0,0.0,1239000000.0,0.0
28,Myanmar,2630,Café,2013,58000000.0,0.0,0.0,0.0,0.0,58000000.0,0.0
28,Myanmar,2633,Feve de Cacao,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
28,Myanmar,2635,Thé,2013,32000000.0,0.0,0.0,0.0,0.0,32000000.0,0.0
28,Myanmar,2640,Poivre,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2641,Piments,2013,126000000.0,0.0,0.0,4000000.0,0.0,122000000.0,0.0
28,Myanmar,2642,Girofles,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2645,"Épices, Autres",2013,2000000.0,0.0,0.0,0.0,0.0,3000000.0,0.0
28,Myanmar,2655,Vin,2013,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
28,Myanmar,2656,Bière,2013,157000000.0,0.0,0.0,0.0,0.0,157000000.0,0.0
28,Myanmar,2657,Boissons Fermentés,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2658,Boissons Alcooliques,2013,26000000.0,0.0,0.0,0.0,0.0,26000000.0,0.0
28,Myanmar,2659,"Alcool, non Comestible",2013,1040000000.0,0.0,0.0,0.0,0.0,0.0,1040000000.0
28,Myanmar,2680,Aliments pour enfants,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
28,Myanmar,2731,Viande de Bovins,2013,263000000.0,0.0,0.0,0.0,0.0,263000000.0,0.0
28,Myanmar,2732,Viande d'Ovins/Caprins,2013,48000000.0,0.0,0.0,0.0,0.0,48000000.0,0.0
28,Myanmar,2733,Viande de Suides,2013,621000000.0,0.0,0.0,19000000.0,0.0,602000000.0,0.0
28,Myanmar,2734,Viande de Volailles,2013,1197000000.0,0.0,0.0,33000000.0,0.0,1165000000.0,0.0
28,Myanmar,2735,"Viande, Autre",2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
28,Myanmar,2736,Abats Comestible,2013,82000000.0,0.0,0.0,0.0,0.0,82000000.0,0.0
28,Myanmar,2737,Graisses Animales Crue,2013,48000000.0,0.0,0.0,0.0,0.0,48000000.0,0.0
28,Myanmar,2740,"Beurre, Ghee",2013,31000000.0,0.0,0.0,0.0,0.0,31000000.0,0.0
28,Myanmar,2743,Crème,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2744,Oeufs,2013,425000000.0,0.0,61000000.0,21000000.0,0.0,343000000.0,0.0
28,Myanmar,2745,Miel,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2761,Poissons Eau Douce,2013,1914000000.0,0.0,0.0,0.0,0.0,1372000000.0,541000000.0
28,Myanmar,2762,Perciform,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
28,Myanmar,2763,Poissons Pelagiques,2013,15000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0
28,Myanmar,2764,"Poissons Marins, Autres",2013,1673000000.0,62000000.0,0.0,0.0,0.0,1501000000.0,110000000.0
28,Myanmar,2765,Crustacés,2013,7000000.0,0.0,0.0,0.0,0.0,7000000.0,0.0
28,Myanmar,2766,Cephalopodes,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2767,"Mollusques, Autres",2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2769,Animaux Aquatiques Autre,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2775,Plantes Aquatiques,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2781,Huiles de Poissons,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2782,Huiles de Foie de Poisso,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Myanmar,2805,Riz (Eq Blanchi),2013,19596000000.0,7882000000.0,556000000.0,576000000.0,2753000000.0,7073000000.0,757000000.0
28,Myanmar,2848,Lait - Excl Beurre,2013,1801000000.0,0.0,0.0,123000000.0,0.0,1677000000.0,2000000.0
28,Myanmar,2899,Miscellanees,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2511,Blé,2013,532000000.0,0.0,0.0,29000000.0,0.0,503000000.0,0.0
32,Cameroun,2513,Orge,2013,135000000.0,0.0,0.0,1000000.0,124000000.0,11000000.0,0.0
32,Cameroun,2514,Maïs,2013,1686000000.0,495000000.0,25000000.0,192000000.0,37000000.0,935000000.0,2000000.0
32,Cameroun,2515,Seigle,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2516,Avoine,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2517,Millet,2013,98000000.0,0.0,3000000.0,6000000.0,1000000.0,88000000.0,0.0
32,Cameroun,2518,Sorgho,2013,1183000000.0,270000000.0,33000000.0,142000000.0,111000000.0,627000000.0,0.0
32,Cameroun,2520,"Céréales, Autres",2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2531,Pommes de Terre,2013,220000000.0,0.0,55000000.0,22000000.0,0.0,142000000.0,0.0
32,Cameroun,2532,Manioc,2013,4596000000.0,950000000.0,0.0,1471000000.0,0.0,2175000000.0,0.0
32,Cameroun,2533,Patates douces,2013,349000000.0,21000000.0,0.0,38000000.0,0.0,289000000.0,0.0
32,Cameroun,2534,Racines nda,2013,1592000000.0,396000000.0,0.0,656000000.0,0.0,539000000.0,0.0
32,Cameroun,2535,Ignames,2013,557000000.0,0.0,111000000.0,111000000.0,0.0,334000000.0,0.0
32,Cameroun,2536,"Sucre, canne",2013,1200000000.0,0.0,31000000.0,24000000.0,950000000.0,195000000.0,0.0
32,Cameroun,2542,Sucre Eq Brut,2013,213000000.0,0.0,0.0,0.0,0.0,213000000.0,0.0
32,Cameroun,2543,Edulcorants Autres,2013,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
32,Cameroun,2546,Haricots,2013,348000000.0,0.0,16000000.0,49000000.0,0.0,283000000.0,0.0
32,Cameroun,2547,Pois,2013,5000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0
32,Cameroun,2549,Légumineuses Autres,2013,209000000.0,0.0,6000000.0,12000000.0,0.0,191000000.0,0.0
32,Cameroun,2551,Noix,2013,45000000.0,0.0,0.0,0.0,0.0,45000000.0,0.0
32,Cameroun,2555,Soja,2013,14000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0
32,Cameroun,2556,Arachides Decortiquees,2013,445000000.0,0.0,25000000.0,82000000.0,178000000.0,161000000.0,0.0
32,Cameroun,2557,Graines de tournesol,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2558,Graines Colza/Moutarde,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2559,Graines de coton,2013,180000000.0,0.0,13000000.0,0.0,141000000.0,0.0,26000000.0
32,Cameroun,2560,Coco (Incl Coprah),2013,6000000.0,0.0,0.0,0.0,5000000.0,0.0,0.0
32,Cameroun,2561,Sésame,2013,49000000.0,0.0,1000000.0,6000000.0,0.0,28000000.0,15000000.0
32,Cameroun,2562,Palmistes,2013,62000000.0,0.0,0.0,4000000.0,57000000.0,1000000.0,0.0
32,Cameroun,2563,Olives,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2570,"Plantes Oleiferes, Autre",2013,44000000.0,2000000.0,6000000.0,4000000.0,0.0,30000000.0,1000000.0
32,Cameroun,2571,Huile de Soja,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
32,Cameroun,2572,Huile d'Arachide,2013,59000000.0,0.0,0.0,0.0,0.0,59000000.0,0.0
32,Cameroun,2573,Huile de Tournesol,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2574,Huile de Colza&Moutarde,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2575,Huile Graines de Coton,2013,23000000.0,0.0,0.0,0.0,0.0,23000000.0,0.0
32,Cameroun,2576,Huile de Palmistes,2013,29000000.0,0.0,0.0,0.0,0.0,9000000.0,21000000.0
32,Cameroun,2577,Huile de Palme,2013,321000000.0,0.0,0.0,10000000.0,0.0,116000000.0,195000000.0
32,Cameroun,2578,Huile de Coco,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
32,Cameroun,2579,Huile de Sésame,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2580,Huile d'Olive,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2582,Huile de Germe de Maïs,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
32,Cameroun,2586,Huil Plantes Oleif Autr,2013,10000000.0,0.0,0.0,0.0,1000000.0,8000000.0,1000000.0
32,Cameroun,2601,Tomates,2013,917000000.0,0.0,0.0,88000000.0,0.0,829000000.0,0.0
32,Cameroun,2602,Oignons,2013,214000000.0,0.0,0.0,21000000.0,0.0,192000000.0,0.0
32,Cameroun,2605,"Légumes, Autres",2013,1368000000.0,0.0,0.0,7000000.0,0.0,1361000000.0,0.0
32,Cameroun,2611,"Oranges, Mandarines",2013,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
32,Cameroun,2612,Citrons & Limes,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2613,Pamplemousse,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2614,"Agrumes, Autres",2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Cameroun,2615,Bananes,2013,1345000000.0,0.0,0.0,160000000.0,0.0,1090000000.0,95000000.0
